Date/Time	Latitude	Longitude	Depth water [m]	Cast	Sample label	Chl a [µg/l]	[NO3]- [µmol/l]	Flag (NO3)	[NO2]- [µmol/l]	Flag (NO2)	O2 [µmol/kg]	Flag (Oxygen)	[PO4]3- [µmol/l]	Flag (PO4)	Sal	SiO2 [µmol/l]	Flag (SiO2)	Temp [°C]
1957-04-30T00:00:00	54.5295	10.0393	1	1	1						321.9		0.000		15.30			7.70
1957-04-30T00:00:00	54.5295	10.0393	5	1	1						325.0		0.010		15.30			5.40
1957-04-30T00:00:00	54.5295	10.0393	10	1	1						325.0		0.020		15.70			6.10
1957-04-30T00:00:00	54.5295	10.0393	15	1	1						318.8		0.030		16.40			4.50
1957-04-30T00:00:00	54.5295	10.0393	20	1	1						300.0		0.060		17.00			4.30
1957-04-30T00:00:00	54.5295	10.0393	26	1	1						281.3		0.240		17.40			4.30
1957-05-14T00:00:00	54.5295	10.0393	1	1	2								0.020		15.40			8.70
1957-05-14T00:00:00	54.5295	10.0393	5	1	2								0.070		15.40			8.70
1957-05-14T00:00:00	54.5295	10.0393	10	1	2								0.010		15.80			7.20
1957-05-14T00:00:00	54.5295	10.0393	15	1	2								0.150		17.00			6.40
1957-05-14T00:00:00	54.5295	10.0393	20	1	2								0.170		17.40			6.30
1957-05-14T00:00:00	54.5295	10.0393	26	1	2								0.410		18.40			6.50
1957-06-04T00:00:00	54.5295	10.0393	1	1	3								0.040		14.70			13.40
1957-06-04T00:00:00	54.5295	10.0393	5	1	3								0.010		14.70			13.20
1957-06-04T00:00:00	54.5295	10.0393	10	1	3								0.120		15.00			10.20
1957-06-04T00:00:00	54.5295	10.0393	15	1	3								0.190		15.60			8.80
1957-06-04T00:00:00	54.5295	10.0393	20	1	3								0.460		17.60			6.70
1957-06-04T00:00:00	54.5295	10.0393	26	1	3								0.750		18.40			6.40
1957-06-14T00:00:00	54.5295	10.0393	1	1	4						437.5		0.010		14.80			13.90
1957-06-14T00:00:00	54.5295	10.0393	5	1	4						340.6		0.030		14.80			13.50
1957-06-14T00:00:00	54.5295	10.0393	10	1	4						346.9		0.010		14.90			12.60
1957-06-14T00:00:00	54.5295	10.0393	15	1	4						334.4		0.000		15.50			10.50
1957-06-14T00:00:00	54.5295	10.0393	20	1	4						243.8		0.040		18.20			6.60
1957-06-14T00:00:00	54.5295	10.0393	26	1	4						193.8		0.870		18.80			6.40
1957-07-05T00:00:00	54.5295	10.0393	1	1	5						303.1		0.100		14.60			18.90
1957-07-05T00:00:00	54.5295	10.0393	5	1	5						293.8		0.090		14.70			18.30
1957-07-05T00:00:00	54.5295	10.0393	10	1	5						331.3		0.050		15.80			11.00
1957-07-05T00:00:00	54.5295	10.0393	15	1	5						246.9		0.420		19.10			8.30
1957-07-05T00:00:00	54.5295	10.0393	20	1	5						228.1		0.410		20.20			8.40
1957-07-05T00:00:00	54.5295	10.0393	26	1	5						162.5		0.500		21.80			8.20
1957-07-30T00:00:00	54.5295	10.0393	1	1	6								0.520		13.70			17.40
1957-07-30T00:00:00	54.5295	10.0393	5	1	6								0.590		15.30			17.40
1957-07-30T00:00:00	54.5295	10.0393	10	1	6								0.090		15.70			16.30
1957-07-30T00:00:00	54.5295	10.0393	15	1	6								0.380		18.60			9.20
1957-07-30T00:00:00	54.5295	10.0393	20	1	6								0.620		21.20			9.00
1957-07-30T00:00:00	54.5295	10.0393	26	1	6								0.810		24.50			
1957-09-09T00:00:00	54.5295	10.0393	1	1	7						175.0		0.160		15.70			
1957-09-09T00:00:00	54.5295	10.0393	5	1	7						228.1							14.70
1957-09-09T00:00:00	54.5295	10.0393	10	1	7						262.5							12.50
1957-09-09T00:00:00	54.5295	10.0393	15	1	7						265.6		0.360		23.20			12.80
1957-09-09T00:00:00	54.5295	10.0393	20	1	7						212.5		0.770		23.60			12.00
1957-09-09T00:00:00	54.5295	10.0393	26	1	7						209.4							11.10
1957-10-31T00:00:00	54.5295	10.0393	1	1	8						300.0		0.530		19.00			10.90
1957-10-31T00:00:00	54.5295	10.0393	5	1	8						293.8		0.460		19.00			10.90
1957-10-31T00:00:00	54.5295	10.0393	10	1	8						253.1		1.050		20.40			11.10
1957-10-31T00:00:00	54.5295	10.0393	15	1	8						225.0		1.290		21.80			11.30
1957-10-31T00:00:00	54.5295	10.0393	20	1	8						134.4		1.340		21.90			11.40
